	GS000a.fa.comb	GS000b.fa.comb	GS000c.fa.comb	GS000d.fa.comb	GS001a.fa.comb	GS001b.fa.comb	GS001c.fa.comb	GS002.fa.comb	GS003.fa.comb	GS004.fa.comb	GS005.fa.comb	GS006.fa.comb	GS007.fa.comb	GS008.fa.comb	GS009.fa.comb	GS010.fa.comb	GS011.fa.comb	GS012.fa.comb	GS013.fa.comb	GS014.fa.comb	GS015.fa.comb	GS016.fa.comb	GS017.fa.comb	GS018.fa.comb	GS019.fa.comb	GS020.fa.comb	GS021.fa.comb	GS022.fa.comb	GS023.fa.comb	GS025.fa.comb	GS026.fa.comb	GS027.fa.comb	GS028.fa.comb	GS029.fa.comb	GS030.fa.comb	GS031.fa.comb	GS032.fa.comb	GS033.fa.comb	GS034.fa.comb	GS035.fa.comb	GS036.fa.comb	GS037.fa.comb	GS047.fa.comb	GS051.fa.comb
GS005.fa.comb	0.999988647426	0.999952420099	0.999990696939	0.999994915741	1.0	0.999960535663	1.0	0.989207589713	0.992585712423	0.983030940486	0.0	0.977568082112	0.99520118454	0.976612539704	0.993520087728	0.989615232904	0.998286324003	0.999476755672	0.990901970236	0.999978949141	1.0	0.999989375999	0.999987449484	1.0	0.999989819603	1.0	0.999968900476	0.999989058662	1.0	1.0	1.0	0.999985876255	0.999992005852	0.999989619018	0.999985723905	0.999987940474	0.999980874879	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GS006.fa.comb	0.999980091975	0.999575438029	0.999953327079	0.999979587619	0.999990100529	0.999986718376	0.999973689403	0.951354064953	0.935787078263	0.957847262913	0.977568082112	0.0	0.968859288445	0.987968352224	0.985796721878	0.987926048861	0.998522654442	0.999946190561	0.993293275067	0.999989393522	0.999989307157	1.0	0.999987392044	0.999960478604	0.9999794876	1.0	1.0	1.0	0.999979245577	0.999988910452	0.999889153688	0.999992901735	0.999991959185	1.0	0.999990449609	0.999991936784	0.999971111764	0.999994680384	1.0	0.999980049179	0.999985424547	1.0	1.0	1.0
GS007.fa.comb	0.999979842629	0.999945675793	0.999980943987	0.999989562131	0.999886206112	0.999718081545	0.999888370276	0.948426725387	0.946245059289	0.975158506432	0.99520118454	0.968859288445	0.0	0.990931989924	0.992063431146	0.99405958974	0.999475529459	0.999988709623	0.994328432436	0.999922163845	1.0	0.999943852399	0.999987036599	0.999989675981	1.0	1.0	0.999989057764	1.0	1.0	0.999988348451	0.999856852845	0.999956053615	0.999975003333	1.0	1.0	0.999967171474	0.999989949648	0.999997309061	0.999978416529	0.999968716435	0.999922189888	0.999965709387	0.999965812842	0.999988886543
GS008.fa.comb	0.999966373948	0.999682209317	0.999935806135	0.999930720185	0.999720595426	0.999510337323	0.999855859752	0.985798722363	0.989135208617	0.989365547001	0.976612539704	0.987968352224	0.990931989924	0.0	0.972884503106	0.95413519011	0.98940532882	0.995129330733	0.952609007501	0.99928057554	0.999922184136	0.999961055702	0.999938022291	0.999970631209	0.999916974866	0.999981221098	0.999847008831	0.999904503078	0.999961934634	0.999992010418	0.999982785555	0.999596286977	0.999466594709	0.999923425631	0.999840427817	0.999152027361	0.998487429458	0.999987833218	0.999772728994	0.999852108744	0.999758679106	1.0	0.999979558254	0.999907205852
GS009.fa.comb	0.999961264868	0.999878935541	0.999946445068	0.999951402405	0.999936838781	0.999894247039	0.999941743274	0.980098858596	0.988517330457	0.993089473923	0.993520087728	0.985796721878	0.992063431146	0.972884503106	0.0	0.96784406784	0.993354209818	0.998705375611	0.980711893106	0.999519664918	0.999980645005	0.999951556255	0.999988126477	0.999945957144	0.999981363103	1.0	0.999914732758	0.999960192073	0.999981163529	1.0	0.999945058266	0.999714648802	0.999716793054	0.999876679062	0.999753680537	0.999585033275	0.999216966316	0.999992223527	0.999906388954	0.999809192384	0.999846978787	1.0	1.0	0.999961591089
GS010.fa.comb	0.999927963771	0.999762316554	0.99975846437	0.999814879769	0.999909361178	0.999881802977	0.999871084937	0.986372777572	0.990965556183	0.99427104363	0.989615232904	0.987926048861	0.99405958974	0.95413519011	0.96784406784	0.0	0.969093267699	0.982960492209	0.940759093451	0.996534565059	0.999815234409	0.999678716423	0.999785640919	0.999755708062	0.999878293677	0.999983985437	0.999200388383	0.999589930288	0.999886446973	0.999979896972	0.999933706053	0.998102428891	0.998429060878	0.999513899148	0.999250210307	0.999013026879	0.998860031283	0.999989617927	0.999407479861	0.999525369892	0.998421478164	0.999944434412	0.999958427737	0.999199174088
GS011.fa.comb	0.999986978997	0.999981884673	0.999991890851	0.999973723107	1.0	0.999981424724	0.999963097248	0.997731937811	0.99910771877	0.999425008738	0.998286324003	0.998522654442	0.999475529459	0.98940532882	0.993354209818	0.969093267699	0.0	0.94556997889	0.973109102824	0.999644718143	0.999952342562	0.999976148547	0.999937175406	0.999977543061	0.99998460117	0.999291808265	0.999937556833	0.999959365616	0.999945628112	1.0	0.99995597487	0.999838390834	0.999910682102	0.999960932006	0.999929692072	0.999921545693	0.999919252128	0.999982857633	0.999976814462	0.99996983966	0.999871269922	1.0	0.999968496991	0.999881618045
GS012.fa.comb	0.999994803285	1.0	0.999995959571	1.0	1.0	1.0	0.999972541679	0.999927346702	0.999914788009	0.99996650309	0.999476755672	0.999946190561	0.999988709623	0.995129330733	0.998705375611	0.982960492209	0.94556997889	0.0	0.964336948088	0.999968633232	0.999992111201	0.999992103725	0.999984364536	0.999977687287	0.999984702872	0.999479310892	0.99999224686	0.999991929757	1.0	0.999991897356	0.999973784244	0.999982770602	0.999993655104	1.0	0.99996291061	0.999996444843	0.999992705522	0.999995112516	0.999992322722	0.99999250869	1.0	1.0	0.999979186721	0.999992161289
GS013.fa.comb	0.999974411071	0.999890161309	0.999893463387	0.999914943022	0.999893004262	0.999606880465	0.999852420307	0.98785931909	0.991765094822	0.994345312893	0.990901970236	0.993293275067	0.994328432436	0.952609007501	0.980711893106	0.940759093451	0.973109102824	0.964336948088	0.0	0.998763665246	0.999947248441	0.999864230356	0.999914057642	0.999921645725	0.999941468697	0.999880291352	0.999799874736	0.999953791948	0.999985244426	0.999969076628	0.99997507695	0.999166928159	0.999284589633	0.999844191689	0.999597735249	0.999216620186	0.999077087652	0.999961459156	0.999867831706	0.999713104319	0.999387672739	0.999990181784	0.999980397538	0.999805254386
GS014.fa.comb	0.996848946196	0.990960958605	0.987683838303	0.990896177826	0.999771417616	0.999699713363	0.998146775389	0.999952091027	0.999937004567	0.999967004685	0.999978949141	0.999989393522	0.999922163845	0.99928057554	0.999519664918	0.996534565059	0.999644718143	0.999968633232	0.998763665246	0.0	0.988362790589	0.984250430652	0.984205596353	0.987821579513	0.992513530903	0.997004044775	0.984264413099	0.990005867163	0.994578828416	0.998517366844	0.996390219048	0.993076232673	0.99302377515	0.997527014677	0.993623434289	0.997219106788	0.999277725413	0.999995128723	0.993389861415	0.998227653792	0.994322338112	0.999722443525	0.999343279906	0.986031558904
