	O2.UC-11	O2.UC-12	O2.UC-13	O2.UC-14	O2.UC-16	O2.UC-17	O2.UC-18	O2.UC-19	O2.UC-1	O2.UC-20	O2.UC-21	O2.UC-22	O2.UC-23	O2.UC-24	O2.UC-4	V1.CD-11	V1.CD-12	V1.CD-13	V1.CD-14	V1.CD-15	V1.CD-1	V1.CD-2	V1.CD-3	V1.CD-4	V1.CD-6	V1.CD-8	V1.CD-9	V1.UC-10	V1.UC-13	V1.UC-14	V1.UC-15	V1.UC-17	V1.UC-18	V1.UC-19	V1.UC-21	V1.UC-6	V1.UC-7	V1.UC-8	V1.UC-9
O2.UC-21	0.9976217404359999	0.9986992737260001	0.9964033688349999	0.9977040790289999	0.998753390228	0.997758125881	0.998396179289	0.998249599228	0.998785172449	0.997054864446	0.0	0.9948274604269999	0.997957311322	0.9982601696179999	0.994281774356	0.996892471305	0.998434797854	0.996736904799	0.9973298018200001	0.99824493119	0.9945248614929999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-22	0.9811304849299999	0.980406195608	0.981298948747	0.978463396442	0.992812364531	0.977619813953	0.9789233903210001	0.97459383206	0.9863529602689999	0.949049382563	0.9948274604269999	0.0	0.970792917695	0.9880499026999999	0.983487902526	0.979248770076	0.9688984603990001	0.9720592552399999	0.9579746872339999	0.949015235983	0.96322137945	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-23	0.984446546503	0.9729646032089999	0.980963547904	0.988268313364	0.994213046441	0.988334965185	0.9869890015009999	0.968037738528	0.9805211666120001	0.954647729463	0.997957311322	0.970792917695	0.0	0.987217487777	0.992273822755	0.9892645963519999	0.9911726599200001	0.970970432891	0.967156227617	0.949166672013	0.975482571053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-24	0.982350915009	0.972010432676	0.981507571242	0.95761512651	0.962039614082	0.91976481381	0.992486947583	0.9768603399629999	0.940633520738	0.981116991832	0.9982601696179999	0.9880499026999999	0.987217487777	0.0	0.994644349452	0.9971490770899999	0.9962525897040001	0.978722133141	0.979681282502	0.988897558018	0.9956353027299999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
O2.UC-4	0.9885788064309999	0.994716739652	0.985270876987	0.9901938253210001	0.995350222351	0.993923814268	0.995078062093	0.9873679597949999	0.992522312785	0.980808028714	0.994281774356	0.983487902526	0.992273822755	0.994644349452	0.0	0.9887611903970001	0.986854359268	0.98538332386	0.978467287212	0.99128270037	0.9913958603499999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
V1.CD-11	0.989466383877	0.994129500632	0.9876162981759999	0.989968923361	0.997059567882	0.986562791441	0.9860871171860001	0.9916344219329999	0.9953427674709999	0.986432757641	0.996892471305	0.979248770076	0.9892645963519999	0.9971490770899999	0.9887611903970001	0.0	0.978972310194	0.9903440167399999	0.985805773583	0.980758978019	0.979049075023	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
V1.CD-12	0.9950489709289999	0.991573908204	0.994828527604	0.9839642950149999	0.9971185579170001	0.9893230386040001	0.956587401624	0.9838800075309999	0.992616499205	0.976637973797	0.998434797854	0.9688984603990001	0.9911726599200001	0.9962525897040001	0.986854359268	0.978972310194	0.0	0.990828310044	0.963072661191	0.9428763251119999	0.984930096585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
V1.CD-13	0.94644904813	0.947449246004	0.971230033227	0.9812335461120001	0.985573009711	0.985883902172	0.982173805943	0.960176013097	0.978126135317	0.959651019895	0.996736904799	0.9720592552399999	0.970970432891	0.978722133141	0.98538332386	0.9903440167399999	0.990828310044	0.0	0.9489607393449999	0.95536672692	0.989248167799	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
V1.CD-14	0.9803292670880001	0.966711356833	0.9740448527150001	0.976920251123	0.9925462663169999	0.9816393987369999	0.9881108924650001	0.9582897401899999	0.969358694682	0.961447784087	0.9973298018200001	0.9579746872339999	0.967156227617	0.979681282502	0.978467287212	0.985805773583	0.963072661191	0.9489607393449999	0.0	0.955302364104	0.981389464059	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
V1.CD-15	0.940928827147	0.979535487652	0.981849175766	0.983622379226	0.995719104676	0.9771419503640001	0.9812630555399999	0.9695066430120001	0.986943728582	0.944355357992	0.99824493119	0.949015235983	0.949166672013	0.988897558018	0.99128270037	0.980758978019	0.9428763251119999	0.95536672692	0.955302364104	0.0	0.966486738511	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
